,Gen,Name,Wins,Loses,Draws
2,46,dArwIn_G46_1a,2,1,0
3,46,dArwIn_G46_1b,2,1,0
4,46,dArwIn_G46_2a,1,2,0
5,46,dArwIn_G46_2b,2,1,0
6,46,dArwIn_G46_3a,1,2,0
7,46,dArwIn_G46_3b,1,2,0
0,47,dArwIn_G47_0a,2,1,0
1,47,dArwIn_G47_0b,2,1,0
2,47,dArwIn_G47_1a,3,0,0
3,47,dArwIn_G47_1b,2,1,0
4,47,dArwIn_G47_2a,3,0,0
5,47,dArwIn_G47_2b,2,1,0
6,47,dArwIn_G47_3a,2,1,0
7,47,dArwIn_G47_3b,2,1,0
0,48,dArwIn_G48_0a,1,2,0
1,48,dArwIn_G48_0b,2,1,0
2,48,dArwIn_G48_1a,1,2,0
3,48,dArwIn_G48_1b,2,1,0
4,48,dArwIn_G48_2a,1,2,0
5,48,dArwIn_G48_2b,3,0,0
6,48,dArwIn_G48_3a,2,1,0
7,48,dArwIn_G48_3b,2,1,0
0,49,dArwIn_G49_0a,2,1,0
1,49,dArwIn_G49_0b,2,1,0
2,49,dArwIn_G49_1a,2,1,0
3,49,dArwIn_G49_1b,2,1,0
4,49,dArwIn_G49_2a,2,1,0
5,49,dArwIn_G49_2b,2,1,0
6,49,dArwIn_G49_3a,2,1,0
7,49,dArwIn_G49_3b,0,3,0
0,50,dArwIn_G50_0a,2,1,0
1,50,dArwIn_G50_0b,2,1,0
2,50,dArwIn_G50_1a,2,1,0
3,50,dArwIn_G50_1b,2,1,0
4,50,dArwIn_G50_2a,2,1,0
5,50,dArwIn_G50_2b,1,2,0
6,50,dArwIn_G50_3a,2,1,0
7,50,dArwIn_G50_3b,2,1,0
0,51,dArwIn_G51_0a,2,1,0
1,51,dArwIn_G51_0b,2,1,0
2,51,dArwIn_G51_1a,3,0,0
3,51,dArwIn_G51_1b,2,1,0
4,51,dArwIn_G51_2a,2,1,0
5,51,dArwIn_G51_2b,3,0,0
6,51,dArwIn_G51_3a,1,2,0
7,51,dArwIn_G51_3b,2,1,0
0,52,dArwIn_G52_0a,2,1,0
1,52,dArwIn_G52_0b,2,1,0
2,52,dArwIn_G52_1a,2,1,0
3,52,dArwIn_G52_1b,2,1,0
4,52,dArwIn_G52_2a,2,1,0
5,52,dArwIn_G52_2b,2,1,0
6,52,dArwIn_G52_3a,2,1,0
7,52,dArwIn_G52_3b,3,0,0
0,53,dArwIn_G53_0a,1,2,0
1,53,dArwIn_G53_0b,2,1,0
2,53,dArwIn_G53_1a,2,1,0
3,53,dArwIn_G53_1b,2,1,0
4,53,dArwIn_G53_2a,1,2,0
5,53,dArwIn_G53_2b,2,1,0
6,53,dArwIn_G53_3a,2,1,0
7,53,dArwIn_G53_3b,2,1,0
0,54,dArwIn_G54_0a,2,1,0
1,54,dArwIn_G54_0b,2,1,0
2,54,dArwIn_G54_1a,2,1,0
3,54,dArwIn_G54_1b,3,0,0
4,54,dArwIn_G54_2a,2,1,0
5,54,dArwIn_G54_2b,3,0,0
6,54,dArwIn_G54_3a,2,1,0
7,54,dArwIn_G54_3b,2,1,0
0,55,dArwIn_G55_0a,2,1,0
1,55,dArwIn_G55_0b,3,0,0
2,55,dArwIn_G55_1a,2,1,0
3,55,dArwIn_G55_1b,2,1,0
4,55,dArwIn_G55_2a,1,2,0
5,55,dArwIn_G55_2b,2,1,0
6,55,dArwIn_G55_3a,1,2,0
7,55,dArwIn_G55_3b,2,1,0
0,56,dArwIn_G56_0a,2,1,0
1,56,dArwIn_G56_0b,1,2,0
2,56,dArwIn_G56_1a,1,2,0
3,56,dArwIn_G56_1b,2,1,0
4,56,dArwIn_G56_2a,2,1,0
5,56,dArwIn_G56_2b,2,1,0
6,56,dArwIn_G56_3a,2,1,0
7,56,dArwIn_G56_3b,1,2,0
0,57,dArwIn_G57_0a,1,2,0
1,57,dArwIn_G57_0b,2,1,0
2,57,dArwIn_G57_1a,2,1,0
3,57,dArwIn_G57_1b,2,1,0
4,57,dArwIn_G57_2a,2,1,0
5,57,dArwIn_G57_2b,2,1,0
6,57,dArwIn_G57_3a,3,0,0
7,57,dArwIn_G57_3b,2,1,0
0,58,dArwIn_G58_0a,2,1,0
1,58,dArwIn_G58_0b,2,1,0
2,58,dArwIn_G58_1a,1,2,0
3,58,dArwIn_G58_1b,2,1,0
4,58,dArwIn_G58_2a,2,1,0
5,58,dArwIn_G58_2b,2,1,0
6,58,dArwIn_G58_3a,2,1,0
7,58,dArwIn_G58_3b,2,1,0
0,59,dArwIn_G59_0a,2,1,0
1,59,dArwIn_G59_0b,3,0,0
2,59,dArwIn_G59_1a,2,1,0
3,59,dArwIn_G59_1b,2,1,0
4,59,dArwIn_G59_2a,2,1,0
5,59,dArwIn_G59_2b,2,1,0
6,59,dArwIn_G59_3a,2,1,0
7,59,dArwIn_G59_3b,2,1,0
0,60,dArwIn_G60_0a,2,1,0
1,60,dArwIn_G60_0b,2,1,0
2,60,dArwIn_G60_1a,2,1,0
3,60,dArwIn_G60_1b,1,2,0
4,60,dArwIn_G60_2a,2,1,0
5,60,dArwIn_G60_2b,1,2,0
6,60,dArwIn_G60_3a,2,1,0
7,60,dArwIn_G60_3b,2,1,0
0,61,dArwIn_G61_0a,2,1,0
1,61,dArwIn_G61_0b,2,1,0
